DEPARTAMENTO,MUNICIPIO,TOTAL,URBANO,RURAL,AREA_SQ_KM,POPULATION_DENSITY
CUSCATLÁN,Oratorio de Concepción,3578,1818,452,82.66961396476563,43.28071498585888
CUSCATLÁN,San Bartolomé Perulapía,8058,4158,2468,90.64821699311439,88.89308876987711
CUSCATLÁN,San Cristóbal,8316,4270,435,38.62031274746775,215.32710142398477
CUSCATLÁN,San José Guayabal,9300,4672,1466,19.90467320749091,467.2269623848959
CUSCATLÁN,San Pedro Perulapán,44730,23171,7878,30.51416462877475,1465.8766033470163
CUSCATLÁN,San Rafael Cedros,17069,9062,2842,48.43970097636307,352.37624625984154
CUSCATLÁN,San Ramón,6292,3295,657,83.62132893302439,75.24396084448156
CUSCATLÁN,Santa Cruz Analquito,2585,1302,926,87.46575249307091,29.55442474704354
CUSCATLÁN,Santa Cruz Michapa,11790,6206,3539,10.625691747807164,1109.5748192048877
CUSCATLÁN,Suchitoto,24786,12569,4096,55.967257231980916,442.86608323976856
CUSCATLÁN,Tenancingo,6782,3406,506,47.56699028339011,142.57786670114805
LA PAZ,Cuyultitán,5590,2889,1763,29.98970294236572,186.3973114619666
LA PAZ,El Rosario,16784,8760,4967,20.787883060031454,807.3934200770227
LA PAZ,Jerusalen,2570,1327,230,40.385365426326516,63.63691334397737
LA PAZ,Mercedes la Ceiba,637,312,241,94.86187335212672,6.715026569583543
LA PAZ,Olocuilta,29529,15422,8369,39.088263881867974,755.4441427545145
LA PAZ,Paraíso de Osorio,2727,1375,890,56.691155956902946,48.10274114137109
LA PAZ,San Antonio Masahuat,4258,2172,583,73.27170630056601,58.112472262258585
LA PAZ,San Emigdio,2818,1449,729,42.726664214136456,65.95413079469103
LA PAZ,San Francisco Chinameca,7387,3756,1352,97.46038744488646,75.79489671306021
LA PAZ,San Juan Nonualco,17256,9081,4109,96.62025654479001,178.59608965124906
LA PAZ,San Juan Talpa,7707,4067,2411,32.66040662428277,235.97379201855688
LA PAZ,San Juan Tepezontes,3630,1832,681,54.75236553031469,66.29850536759332
LA PAZ,San Luís La Herradura,20405,10413,4490,37.07904788350927,550.3107864070864
LA PAZ,San Luís Talpa,21675,11302,6982,35.63564449397208,608.2393150954915
LA PAZ,San Miguel Tepezontes,5084,2621,1338,13.319825261907951,381.6866888291116
LA PAZ,San Pedro Masahuat,25446,13160,6814,64.86079005819072,392.3171453380507
LA PAZ,San Pedro Nonualco,9252,4738,1667,55.24111209059753,167.48395623944657
LA PAZ,San Rafael Obrajuelo,9820,5282,2813,14.633087612499041,671.0818837448987
LA PAZ,Santa Maria Ostuma,5990,2994,811,35.07818178129503,170.76141623720324
LA PAZ,Santiago Nonualco,39887,20710,6465,91.74392973699884,434.7644592328185
LA PAZ,Tapalhuaca,3809,1946,384,31.560570160027517,120.68856743355738
LA PAZ,Zacatecoluca,65826,34483,22447,23.04053848821008,2856.964477357306
CABAÑAS,Cinquera,1467,718,234,54.05074842498067,27.141159794227672
CABAÑAS,Dolores,6347,3283,750,98.70854086995406,64.30041356159856
CABAÑAS,Guacotecti,5550,2958,1323,31.784974436035036,174.61080584377925
CABAÑAS,Ilobasco,61510,32534,12900,70.49219926652907,872.5788192170368
CABAÑAS,Jutiapa,6584,3457,318,78.54576537958458,83.82374235175888
CABAÑAS,San Isidro,7796,4027,816,31.38737895931597,248.38008965658148
CABAÑAS,Sensuntepeque,40332,21636,8528,75.53947137506736,533.919542536169
CABAÑAS,Tejutepeque,7114,3776,1497,43.10048194473279,165.05615898036112
CABAÑAS,Victoria,12626,6733,712,66.90752475342215,188.7082214822812
SAN VICENTE,Apastepeque,18342,9446,2593,67.01767396848052,273.6889974520234
SAN VICENTE,Guadalupe,5486,2885,1951,58.21972156672826,94.22923800334989
SAN VICENTE,San Cayetano Istepeque,5103,2689,855,18.12607930489675,281.52806319353505
SAN VICENTE,San Esteban Catarina,5661,2932,1351,85.17722460303142,66.46142823252458
SAN VICENTE,San Ildefonso,7799,4075,1156,38.870205847456226,200.64210698051625
SAN VICENTE,San Lorenzo,6055,3185,1085,26.786665935986882,226.04530233325283
SAN VICENTE,San Sebastián,14411,7478,3535,13.669762739928753,1054.2245885443297
SAN VICENTE,San Vicente,53213,27675,19216,63.18036488694176,842.2395169008935
SAN VICENTE,Santa Clara,5349,2697,502,70.98079256580542,75.35841467311045
SAN VICENTE,Santo Domingo,6445,3453,1266,11.492904603507053,560.7807793021541
SAN VICENTE,Tecoluca,23893,12335,5619,56.088375246935286,425.98844938560654
SAN VICENTE,Tepetitán,3631,1952,981,30.384619767814417,119.50124858387129
SAN VICENTE,Verapaz,6257,3156,1272,68.06555113685049,91.92609029815787
USULUTÁN,Alegría,11712,6048,838,25.69297861044923,455.8443836962047
USULUTÁN,Berlín,17787,9038,5107,72.18439642922193,246.41059397705797
USULUTÁN,California,2628,1390,870,44.806181167048365,58.65262183809362
USULUTÁN,Concepción Batres,12197,6461,1733,94.30569898630611,129.3347075638673
USULUTÁN,El Triunfo,6924,3644,1626,22.376884973139394,309.42644645630446
USULUTÁN,Ereguayquin,6119,3264,996,40.695971594523265,150.35886256671841
USULUTÁN,Estanzuelas,9015,4753,2083,20.212616911653015,446.00855195561815
USULUTÁN,Jiquilisco,47784,24846,10869,93.22242564507064,512.5805262987886
USULUTÁN,Jucuapa,18442,9519,5414,88.9605418042883,207.3053920981292
USULUTÁN,Jucuarán,13424,6805,612,33.21474649436401,404.1578339993602
USULUTÁN,Mercedes Umaña,13092,6760,1666,69.39856414307611,188.64943621900838
USULUTÁN,Nueva Granada,7451,3906,697,83.54999801810942,89.18013377313306
USULUTÁN,Ozatlán,12443,6567,2712,59.96807304395161,207.4937440607824
USULUTÁN,Puerto El Triunfo,16584,8579,5064,57.66855205204058,287.57441291458923
USULUTÁN,San Agustín,6518,3355,1653,31.76670618104065,205.18337541366324
USULUTÁN,San Buena Ventura,4726,2441,496,18.379249102530927,257.13781741764427
USULUTÁN,San Dionisio,4945,2584,682,90.74941821579941,54.49070745821133
USULUTÁN,San Francisco Javier,5409,2783,525,91.03762514469975,59.414994530038165
USULUTÁN,Santa Elena,17342,9209,2858,66.97913115459411,258.9164669809323
USULUTÁN,Santa Maria,10731,5827,4442,40.51268119438306,264.88002481276936
USULUTÁN,Santiago de Maria,18201,9690,7706,41.428861715139476,439.33140439986437
USULUTÁN,Tecapán,7697,4041,1907,75.33601109832155,102.1689347204034
USULUTÁN,Usulután,73064,39170,27859,90.73992339573194,805.2023548813868
SAN MIGUEL,Carolina,8240,4338,653,89.83777818386056,91.72087919556678
SAN MIGUEL,Chapeltique,10728,5756,1303,80.18879912718614,133.7842705810383
SAN MIGUEL,Chinameca,22311,11773,3404,67.78284815388591,329.1540648948216
SAN MIGUEL,Chirilagua,19984,10469,1653,17.572596849554394,1137.2252018919307
SAN MIGUEL,Ciudad Barrios,24817,12499,3958,24.54658426851524,1011.0164301691299
SAN MIGUEL,Comacarán,3199,1658,237,90.86987696743714,35.2041854436135
SAN MIGUEL,El Transito,18363,9779,4185,64.57861536936309,284.3510950950435
SAN MIGUEL,Lolotique,14916,7779,2306,10.827734645496669,1377.5734711234052
SAN MIGUEL,Moncagua,22659,11995,3449,19.132438857942887,1184.3236593223478
SAN MIGUEL,Nueva Guadalupe,8905,4742,2753,69.71515921972502,127.73405525667138
SAN MIGUEL,Nuevo Edén de San Juan,4034,2120,294,10.455542546159682,385.82407198770255
SAN MIGUEL,Quelepa,4049,2129,1252,24.472724627574877,165.44949782329306
SAN MIGUEL,San Antonio,5304,2735,235,59.38604104299275,89.3139179990151
SAN MIGUEL,San Gerardo,5986,3355,571,72.27056779234239,82.8276320894529
SAN MIGUEL,San Jorge,9115,4828,1444,68.67651335523405,132.72368608540197
SAN MIGUEL,San Luís de La Reina,5637,3034,594,30.18423785145038,186.75310033475427
SAN MIGUEL,San Miguel,218410,118738,87004,74.09612992127823,2947.657323426268
SAN MIGUEL,San Rafael Oriente,13290,7166,3129,31.352417874712007,423.89075232119006
SAN MIGUEL,Sesori,10705,5630,591,39.285972834334096,272.48911577529606
SAN MIGUEL,Uluazapa,3351,1805,703,77.18422646062217,43.415606447900494
MORAZÁN,Arambala,1821,958,142,68.46696091424931,26.596769824217716
MORAZÁN,Cacaopera,10943,5702,597,86.43010694447601,126.6109737319884
MORAZÁN,Chilanga,9700,5286,698,69.18516030703091,140.20347653966832
MORAZÁN,Corinto,15410,8152,1848,61.147774300192445,252.01244323869858
MORAZÁN,Delicias de Concepción,5076,2664,1107,18.430729104528325,275.40961462847696
MORAZÁN,El Divisadero,7617,4045,430,43.09442227534902,176.7514123134468
MORAZÁN,El Rosario,1339,683,237,33.86821309135529,39.5355962946204
MORAZÁN,Gualococti,3650,1842,471,31.95906790411752,114.20858740156635
MORAZÁN,Guatajiagua,11721,6225,2074,97.57094992772011,120.12796850581896
MORAZÁN,Joateca,4210,2178,434,45.378795220008435,92.77460936520689
MORAZÁN,Jocoaitique,2877,1474,428,90.2841899659402,31.866044332738113
MORAZÁN,Jocoro,10060,5394,1655,66.80247633975367,150.59321976082745
MORAZÁN,Lolotiquillo,4915,2655,578,81.53301731874836,60.28232686133897
MORAZÁN,Meanguera,7818,4084,834,55.23733837946729,141.53469789388134
MORAZÁN,Osicala,8909,4674,1095,61.92134961637232,143.87606302502837
MORAZÁN,Perquín,3158,1710,97,54.32659244369775,58.12991130030555
MORAZÁN,San Carlos,4172,2194,563,27.571868901824004,151.3136456166743
MORAZÁN,San Fernando,1708,900,123,75.02069037353547,22.767052549046113
MORAZÁN,San Francisco Gotera,21049,11135,8367,35.26951261967702,596.8043910041633
MORAZÁN,San Isidro,2804,1469,383,12.188436978830845,230.05410823964147
MORAZÁN,San Simón,10102,5212,818,68.09250663164511,148.3569999067302
MORAZÁN,Sensembra,2940,1597,435,25.939961146634403,113.33864316066843
MORAZÁN,Sociedad,11406,5967,606,94.64127259176229,120.51824418295908
MORAZÁN,Torola,3042,1503,120,95.85357193023286,31.735906536838538
MORAZÁN,Yamabal,4346,2283,304,92.33779511984037,47.06631769103383
MORAZÁN,Yoloaiquín,3613,1967,372,43.31428302299,83.41359357333289
LA UNIÓN,Anamoros,14551,7800,1000,11.391095487598069,1277.401283822284
LA UNIÓN,Bolívar,4215,2278,302,93.54867063289528,45.056759989038746
LA UNIÓN,Concepción de Oriente,8179,4562,543,48.53657334855829,168.5121020238431
LA UNIÓN,Conchagua,37362,19341,8804,96.99893371393026,385.17949187140755
LA UNIÓN,El Carmen,12324,6444,945,96.72579793803276,127.41171706740897
LA UNIÓN,El Sauce,6546,3567,495,86.7708509920624,75.44008068560734
LA UNIÓN,Intipucá,7567,3929,1527,36.50040028626271,207.3127949461945
LA UNIÓN,La Unión,34045,17952,9654,44.658795574173276,762.335830205162
LA UNIÓN,Lislique,13385,7065,372,86.60230043651713,154.55709527960784
LA UNIÓN,Meanguera del Golfo,2398,1274,246,38.522980464064986,62.248558421820526
LA UNIÓN,Nueva Esparta,9637,5185,724,25.254347201748324,381.5976680376376
LA UNIÓN,Pasaquina,16375,8814,1988,60.11211362125152,272.40765651951597
LA UNIÓN,Polorós,9701,5373,554,94.25392967447029,102.92409062948197
LA UNIÓN,San Alejo,17598,9478,1710,72.64268170074757,242.25427239174869
LA UNIÓN,San José,2971,1571,445,61.30550530804285,48.46220555676956
LA UNIÓN,Santa Rosa de Lima,27693,14848,7369,18.74588443936917,1477.2842588232618
LA UNIÓN,Yayantique,6871,3709,1562,65.35065040292528,105.1404991019406
LA UNIÓN,Yucuaiquín,6799,3740,688,99.10484650938369,68.60411210420713
